model|params|mean_test_score|std_test_score|rank_test_score
Logistic Regression|{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}|0.8811064803464902|0.0016124622360779|10
Logistic Regression|{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}|0.8783933970744464|0.0015683734501835|15
Logistic Regression|{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}|0.8849227751899976|0.0014967367123711|5
Logistic Regression|{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}|||17
Logistic Regression|{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}|0.8833864509275149|0.0011565529338034|8
Logistic Regression|{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}|0.8786712429517038|0.001341691794753|14
Logistic Regression|{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}|0.8903325978589525|0.0018164877227597|3
Logistic Regression|{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}|||19
Logistic Regression|{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}|0.8830922611751246|0.0012380957380687|9
Logistic Regression|{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}|0.8796600473972379|0.0015976921676685|11
Logistic Regression|{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}|0.8904633488600148|0.0021585983980039|2
Logistic Regression|{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs'}|||16
Logistic Regression|{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}|0.8838277355561004|0.002449455644648|7
Logistic Regression|{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}|0.8792759663316172|0.0010965631892349|12
Logistic Regression|{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}|0.8899566887308981|0.002229217095511|4
Logistic Regression|{'C': 10, 'penalty': 'l1', 'solver': 'lbfgs'}|||18
Logistic Regression|{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}|0.8838685952439324|0.0024862574460543|6
Logistic Regression|{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}|0.8789245730162621|0.0013503245936575|13
Logistic Regression|{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}|0.8905450682356786|0.0019929142577887|1
Logistic Regression|{'C': 100, 'penalty': 'l1', 'solver': 'lbfgs'}|||20
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}|0.9047642396012096|0.0015823623008683|32
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}|0.90444553403612|0.001506963783709|34
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}|0.9050584293535996|0.0015585922433775|31
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}|0.9067336765547112|0.0013683054778753|23
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}|0.9063087358012584|0.0016757454159033|26
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}|0.9069052872436056|0.0017558449529084|19
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}|0.9068235678679416|0.001853535236893|20
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}|0.907943123314538|0.0012583191815661|7
Random Forest|{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}|0.90798398300237|0.0016852825785143|6
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}|0.9042657514096591|0.0012156701329828|36
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}|0.9044210182234208|0.0016680363909027|35
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}|0.904715207975811|0.0018070886971885|33
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}|0.9061289531747978|0.0015912422345588|28
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}|0.9068153959303752|0.0015724557696322|21
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}|0.9072158208711286|0.0014291314693927|15
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 50}|0.907117757620332|0.001759795969958|17
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}|0.9077143090626788|0.0022089338286151|9
Random Forest|{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}|0.9082618288796274|0.0014803166599117|2
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}|0.9037427474054098|0.0020330558779293|49
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}|0.9038571545313394|0.0024661114991132|44
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}|0.9038244667810738|0.0023075271303307|46
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}|0.9033096347143909|0.0017679737156844|53
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}|0.9037672632181092|0.0018937749039916|48
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}|0.9039307019694368|0.0020188820961355|42
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}|0.9036038244667812|0.0019189964561084|52
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}|0.9040124213451008|0.0020838280559626|40
Random Forest|{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}|0.903996077469968|0.0021711224888291|41
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}|0.9032033995260276|0.0021501670672932|54
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}|0.9037427474054098|0.0017913886241433|49
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}|0.9041104845958976|0.0020079366887747|37
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}|0.9039307019694368|0.0020291103635637|42
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}|0.9037917790308082|0.0021015706872546|47
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}|0.9040941407207648|0.0020819043443891|38
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 50}|0.9036446841546132|0.0023586199501457|51
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}|0.9038489825937728|0.0021672434472101|45
Random Forest|{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}|0.9040941407207648|0.0018831662297404|38
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}|0.9060390618615676|0.0013915348439149|29
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}|0.9062025006128952|0.0015855664908401|27
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}|0.907183133120863|0.0014013383791578|16
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}|0.9067827081801096|0.0018968051149039|22
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}|0.9074854948108196|0.0019316565973217|14
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}|0.9075835580616164|0.0016244282654704|13
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}|0.9076325896870148|0.0013183440173071|11
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}|0.9081801095039632|0.0012896135683307|4
Random Forest|{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}|0.9082945166298928|0.0015446042906789|1
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50}|0.9059001389229384|0.0014156569899903|30
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}|0.9064149709896216|0.0012480879080734|25
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}|0.9066029255536489|0.0015002573496592|24
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 50}|0.907117757620332|0.0016309926333395|17
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}|0.9076325896870148|0.0017113527972814|11
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}|0.9077306529378116|0.0017318724644269|8
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 50}|0.907697965187546|0.0016492338690991|10
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}|0.908024842690202|0.0015052788853158|5
Random Forest|{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}|0.908253656942061|0.0018508311078717|3
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 31}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 50}|0.8283974830432296|0.0014428504043476|103
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 100}|0.8284792024188935|0.0014291314693927|99
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 150}|0.8286181253575222|0.00139584731374|98
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31}|0.8911906513034241|0.0009641501154696|94
LightGBM|{'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 50}|0.8955299501511809|0.0015291352633133|91
